Total,Money,Rebuys stat,,Places,derupo,stparitet,safdenz,thegod
derupo,-8725,12,,1st,4,9,9,4
ai,6525,12,,2nd,6,7,7,6
safdenz,5925,7,,3rd,4,7,3,12
thegod,-3775,7,,4th,12,3,7,4
,,,,,,,,
,,,,,,,,
,King of the Poker,,,,,,,
1-2 seasons:,safdenz,,,,,,,
2-3 seasons:,ai,,,,,,,
3-4 seasons:,,,,,,,,
,,,,,,,,
,,,,,,,,
1/2,Money,,,,,,,
derupo,-3725,,,,,,,
stparitet,25,,,,,,,
safdenz,6425,,,,,,,
thegod,-2775,,,,,,,
,,,,,,,,
,,,,,,,,
2/3,Money,,,,,,,
derupo,-5775,,,,,,,
stparitet,4225,,,,,,,
safdenz,-675,,,,,,,
thegod,2175,,,,,,,
,,,,,,,,
,,,,,,,,
3/4,Money,,,,,,,
derupo,-5000,,,,,,,
stparitet,6500,,,,,,,
safdenz,-500,,,,,,,
thegod,-1000,,,,,,,